"In general, I see my role in the mentoring program as:",Administration topics [format],Administration topics [FSP],Administration topics [Hiring],Administration topics [Providing meaningful evaluations],Administration topics [University systems],Administration topics [Training and safety],Administration topics [Facilities and fleet management],Administration topics [Digital Measures],Administration topics [Compliance with the Hatch Act],Administration topics [Administration / research balance],Administration topics [Dealing with government sites & systems],Administration topics [Use of Reston resources to enhance program],Administration topics [Managing Grants],Administration topics [other topics],Career Building [format],Career Building [Strategies for navigating the RGE process],Career Building [Life work balance],Career Building [Hostile working environments/ difficult people],Career Building [Family leave and life challenges],Career Building [Burnout],Career Building [Taking a new direction in research],Career Building [Imposter syndrome],Career Building [other topics],Conducting Research [format],Conducting Research [Review process],Conducting Research [Developing a research program],Conducting Research [Data archiving and ScienceBase],Conducting Research [Ethics],Conducting Research [other topics],Coordination with partners [format],Coordination with partners [Technical Assistance],Coordination with partners [Working with cooperators],Coordination with partners [Funding],Coordination with partners [Overcoming a bad history],Coordination with partners [Garnering enthusiasm for the Unit for support],Coordination with partners [other topics],Lab Management [format],Lab Management [Attracting graduate students from diverse backgrounds],Lab Management [Mentoring students - singly and as a group],Lab Management [Fostering an inclusive environment & developing a lab culture],Lab Management [Challenges in student/staff supervision],"Lab Management [DEIJ outreach (local high schools, mentoring programs, etc.) & broader impacts]",Lab Management [Teaching/developing a course],"Lab Management [Confronting bias (in self, others, institutional)]",Lab Management [other topics],Service [format],"Service [Service (editor positions, leadership in profesisonal society, etc)]",Service [Communication & social media],Service [Involvement in professional organizations and meetings],Service [Outreach and community education],Service [Providing constructive reviews],Service [other topics]
Mentee,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Selecting graduate students,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Topics around DEI; implicit bias training; navigating difficult people/conversations,Small group discussions,Mentee,Mentee,Mentee,Mentee,,Small group discussions;Depends on the specific topic,Mentee,Mentee,Mentee,Mentee,Mentee,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentee,Mentee,Mentee,Mentee,Mentor;Mentee,Mentee,Mentor;Mentee,,Small group discussions,Mentee,Mentee,Mentee,Mentee,Mentee,
Mentor,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor;Mentee,Mentor,Mentor,Mentor,,,Mentor,,Mentor,Mentor,Mentor;Mentee,Mentor,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor,Mentor,Mentor;Mentee,Mentor,Mentor,Mentor,,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor,Mentor,Mentor;Mentee,Mentor,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor,Mentor,Mentor,Mentor,Mentor,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor;Mentee,Mentor,Mentor,Mentor;Mentee,Mentor;Mentee,Mentor,Mentor;Mentee,,One-on-one discussions;Small group discussions;Depends on the specific topic,Mentor,Mentor;Mentee,Mentor,Mentor,Mentor,
Mentor,Small group discussions,Mentor,,,Mentor,,,Mentor,,Mentor,,,Mentor,,Small group discussions,Mentee,Mentor,,,,,,,Small group discussions,,Mentor,,,,Small group discussions,Mentor,Mentor,Mentor,Mentor,Mentor,,Small group discussions,,Mentor,,Mentor,,,,,,Mentor,,,,Mentor,
Mentor,One-on-one discussions,,,,,,,Mentor,,,,,,,One-on-one discussions,,Mentor,,,,,,,One-on-one discussions,,,Mentor,,,One-on-one discussions,,,,,,,One-on-one discussions,,,,,,Mentor,,,One-on-one discussions,,,,,,
Both,Depends on the specific topic,,Mentor;Mentee,Mentee,Mentor,Mentee,Mentee,Mentor,Mentee,Mentee,Mentee,Mentee,Mentor,,Depends on the specific topic,Mentee,Mentee,,Mentee,Mentee,Mentee,Mentee,This is topic area I am most interested in.,,,Mentee,,,Interested in how different units approach getting projects with state agencies.,Depends on the specific topic,Mentor,Mentor;Mentee,Mentor;Mentee,Mentee,Mentee,See previous response.  I have what I think are generally good relationships but finding actual funding to support students is difficult and stressful. ,Depends on the specific topic,Mentor;Mentee,Mentor;Mentee,Mentor;Mentee,Mentee,Mentee,Mentor,Mentor;Mentee,"Motivating or coaching students.  E.g., I think students really suffered during COVID.",Depends on the specific topic,Mentor;Mentee,Mentee,Mentor,Mentee,Mentor,Providing technical assistance?  How to measure value/impact?
Both,Depends on the specific topic,Mentor;Mentee,Mentor,Mentor,Mentor,,,Mentee,,Mentor,,,,,Depends on the specific topic,Mentor,Mentor,Mentor,,,Mentor,Mentor,,Depends on the specific topic,,Mentor,Mentee,Mentor,,Depends on the specific topic,Mentor,Mentor,,,,,Depends on the specific topic,,Mentor,,,Mentor,,,,Depends on the specific topic,Mentor,Mentee,Mentor,,,
Mentee,Depends on the specific topic,,Mentee,,Mentee,Mentee,,,,Mentee,Mentee,Mentee,Mentee,RWOs,Depends on the specific topic,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,how to create space for own professional development and research interests,Small group discussions,Mentee,Mentee,Mentee,Mentee,,Small group discussions,Mentee,Mentee,Mentee,Mentee,Mentee,how to interact with administrators; how to say no gracefully; knowing when your workload is too much,Small group discussions,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,Mentee,,Small group discussions,Mentee,Mentor,Mentee,Mentee,Mentee,
Mentor,Depends on the specific topic,Mentor,Mentor,,,,,,,Mentor,,,Mentor,,Depends on the specific topic,Mentor,Mentor,,,Mentor,Mentor,,,Depends on the specific topic,Mentor,Mentor,,Mentor,,Depends on the specific topic,Mentor,Mentor,Mentor,,,,Depends on the specific topic,,Mentor,,Mentor,,Mentor,,,Depends on the specific topic,Mentor,,Mentor,Mentor,Mentor,
Both,Small group discussions,Mentor,Mentee,Mentee,Mentee,Mentee,Mentee,Mentor,Mentee,Mentee,Mentee,Mentee,Mentee,,Depends on the specific topic,Mentor;Mentee,Mentor;Mentee,Mentee,Mentor;Mentee,,Mentee,Mentor;Mentee,,Depends on the specific topic,Mentor;Mentee,Mentor;Mentee,Mentor;Mentee,Mentor;Mentee,,Small group discussions,Mentor;Mentee,Mentor;Mentee,Mentor;Mentee,,,,Small group discussions,Mentee,Mentor,Mentor;Mentee,Mentor,Mentee,Mentor,Mentee,,Small group discussions,Mentee,Mentee,Mentee,,,
Both,Small group discussions,,,Mentee,Mentor,Mentor,Mentor;Mentee,,Mentee,Mentor,Mentee,Mentee,Mentor,,Small group discussions,,Mentee,,,,,Mentor;Mentee,,Depends on the specific topic,Mentor,Mentor,Mentee,Mentor;Mentee,,Small group discussions,Mentor;Mentee,Mentor,,,Mentee,,Small group discussions,Mentee,Mentor;Mentee,Mentee,Mentor;Mentee,Mentee,Mentor,Mentee,,Small group discussions,Mentor;Mentee,Mentee,Mentor,Mentee,Mentor,
